    GET     /navigate/directions/v5/gh/{profile}/{coordinatesArray : .+} (com.graphhopper.navigation.NavigateResource)
    GET     /nearest (com.graphhopper.resources.NearestResource)
    GET     /route (com.graphhopper.resources.RouteResource)
    POST    /route (com.graphhopper.resources.RouteResource)
    GET     /spt (com.graphhopper.resources.SPTResource)

2025-04-09 15:27:09.418 [main] INFO  o.e.j.server.handler.ContextHandler - Started i.d.j.MutableServletContextHandler@336f49a1{/,null,AVAILABLE}
2025-04-09 15:27:09.422 [main] INFO  io.dropwizard.setup.AdminEnvironment - tasks = 

    POST    /tasks/log-level (io.dropwizard.servlets.tasks.LogConfigurationTask)
    POST    /tasks/gc (io.dropwizard.servlets.tasks.GarbageCollectionTask)

2025-04-09 15:27:09.423 [main] INFO  o.e.j.server.handler.ContextHandler - Started i.d.j.MutableServletContextHandler@53ea380b{/,null,AVAILABLE}
2025-04-09 15:27:09.433 [main] INFO  o.e.jetty.server.AbstractConnector - Started application@6726cc69{HTTP/1.1, (http/1.1)}{localhost:8989}
2025-04-09 15:27:09.434 [main] INFO  o.e.jetty.server.AbstractConnector - Started admin@4b6d92e{HTTP/1.1, (http/1.1)}{localhost:8990}
2025-04-09 15:27:09.435 [main] INFO  org.eclipse.jetty.server.Server - Started @2859ms
2025-04-09 15:27:16.524 [dw-491 - POST /route?key=] INFO  c.g.resources.RouteResource - 127.0.0.1 it_IT Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 3, took: 254,9 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 8255.725942583007, weight0: 1531.5612407174124, time0: 13min, points0: 159, debugInfo: idLookup:0.040187083s; , algoInit:13927 μs, dijkstrabi|ch-routing:37 ms, path extraction: 5652 μs, visited nodes sum: 132, algoInit:203 μs, dijkstrabi|ch-routing:10 ms, path extraction: 974 μs, visited nodes sum: 194
2025-04-09 15:27:18.478 [dw-490 - POST /route?key=] INFO  c.g.resources.RouteResource - 127.0.0.1 it_IT Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 4, took: 62,5 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 11944.969858063007, weight0: 2172.904801933196, time0: 18min, points0: 213, debugInfo: idLookup:0.022464115s; , algoInit:37 μs, dijkstrabi|ch-routing:11 ms, path extraction: 1443 μs, visited nodes sum: 120, algoInit:37 μs, dijkstrabi|ch-routing:9 ms, path extraction: 736 μs, visited nodes sum: 240, algoInit:38 μs, dijkstrabi|ch-routing:4 ms, path extraction: 330 μs, visited nodes sum: 302
2025-04-09 15:27:22.544 [JettyShutdownThread] INFO  o.e.jetty.server.AbstractConnector - Stopped application@6726cc69{HTTP/1.1, (http/1.1)}{localhost:8989}
2025-04-09 15:27:22.545 [JettyShutdownThread] INFO  o.e.jetty.server.AbstractConnector - Stopped admin@4b6d92e{HTTP/1.1, (http/1.1)}{localhost:8990}
2025-04-09 15:27:22.546 [JettyShutdownThread] INFO  o.e.j.server.handler.ContextHandler - Stopped i.d.j.MutableServletContextHandler@53ea380b{/,null,STOPPED}
2025-04-09 15:27:22.555 [JettyShutdownThread] INFO  o.e.j.server.handler.ContextHandler - Stopped i.d.j.MutableServletContextHandler@336f49a1{/,null,STOPPED}
2025-04-09 15:42:02.566 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @1653ms to org.eclipse.jetty.util.log.Slf4jLog
2025-04-09 15:42:02.643 [main] INFO  i.d.server.DefaultServerFactory - Registering jersey handler with root path prefix: /
2025-04-09 15:42:02.645 [main] INFO  i.d.server.DefaultServerFactory - Registering admin handler with root path prefix: /
2025-04-09 15:42:02.863 [main] INFO  io.dropwizard.assets.AssetsBundle - Registering AssetBundle with name: assets for path /maps/*
2025-04-09 15:42:02.865 [main] INFO  io.dropwizard.assets.AssetsBundle - Registering AssetBundle with name: webjars for path /webjars/*
2025-04-09 15:42:02.871 [main] INFO  io.dropwizard.server.ServerFactory - Starting GraphHopperApplication
                        _     _
   __ _ _ __ __ _ _ __ | |__ | |__   ___  _ __  _ __   ___ _ __
  / _` | '__/ _` | '_ \| '_ \| '_ \ / _ \| '_ \| '_ \ / _ \ '__|
 | (_| | | | (_| | |_) | | | | | | | (_) | |_) | |_) |  __/ |
  \__, |_|  \__,_| .__/|_| |_|_| |_|\___/| .__/| .__/ \___|_|
  |___/          |_|                     |_|   |_|
2025-04-09 15:42:02.951 [main] INFO  o.e.jetty.setuid.SetUIDListener - Opened application@33899f7a{HTTP/1.1, (http/1.1)}{localhost:8989}
2025-04-09 15:42:02.951 [main] INFO  o.e.jetty.setuid.SetUIDListener - Opened admin@7899de11{HTTP/1.1, (http/1.1)}{localhost:8990}
2025-04-09 15:42:02.952 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.4.53.v20231009; built: 2023-10-09T12:29:09.265Z; git: 27bde00a0b95a1d5bbee0eae7984f891d2d0f8c9; jvm 23.0.2
